;prompt_gt;completion_gt;missing_edges;total_edges;total_nodes;prompt_edges;prompt_nodes;nb_completion_candidates;completion_best_rank;completion_best_eval;completion_best_rank_score;completion_best_eval_score;completion_best_rank_correct_edges;completion_best_eval_correct_edges;completion_best_rank_lines_missing;completion_best_eval_lines_missing;completion_best_rank_additional_lines;completion_best_eval_additional_lines;completion_best_rank_result;completion_best_eval_result;best_rank;completion_reason_best;completion_reason_best_rank
10;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne; 1 0 Add_package Pres_Package Add_Package\n$$;1;4;4;3;4;1;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
11;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 3 2 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Pres_Package Add_Requ\ne; 3 1 Add_im Pres_Package Add_Im\n$$;1;6;4;5;4;1;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 3 2 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Pres_Package Add_Requ\ne 3 1 Add_im Pres_Package Add_Im\n$$;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 3 2 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Pres_Package Add_Requ\ne 3 1 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
12;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne; 2 1 Add_im Pres_Package Add_Im\n$$;1;6;4;5;4;1;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
13;e 0 3 Add_con Pres_Package Add_Connector\ne 3 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_src Add_Connector Add_Port\ne 5 2 Add_port Pres_Component Add_Port\ne 3 6 Add_t Add_Connector Add_Port\ne; 4 6 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 0 3 Add_con Pres_Package Add_Connector\ne 3 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_src Add_Connector Add_Port\ne 5 2 Add_port Pres_Component Add_Port\ne 3 6 Add_t Add_Connector Add_Port\ne 4 6 Add_port Pres_Component Add_Port\n$$;e 0 3 Add_con Pres_Package Add_Connector\ne 3 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_src Add_Connector Add_Port\ne 5 2 Add_port Pres_Component Add_Port\ne 3 6 Add_t Add_Connector Add_Port\ne 4 6 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
14;e 0 4 Add_port Pres_Component Add_Port\ne 2 4 Add_t Add_Connector Add_Port\ne 2 6 Add_requ Add_Connector Add_Requ\ne 3 6 Add_requ Pres_Package Add_Requ\ne 3 2 Add_con Pres_Package Add_Connector\ne; 2 1 Add_src Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\n$$;2;7;7;5;5;1;e 0 4 Add_port Pres_Component Add_Port\ne 2 4 Add_t Add_Connector Add_Port\ne 2 6 Add_requ Add_Connector Add_Requ\ne 3 6 Add_requ Pres_Package Add_Requ\ne 3 2 Add_con Pres_Package Add_Connector\ne 2 1 Add_src Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\n$$;e 0 4 Add_port Pres_Component Add_Port\ne 2 4 Add_t Add_Connector Add_Port\ne 2 6 Add_requ Add_Connector Add_Requ\ne 3 6 Add_requ Pres_Package Add_Requ\ne 3 2 Add_con Pres_Package Add_Connector\ne 2 1 Add_src Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\n$$;50001;50001;2;2;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
15;e 0 3 Add_component Pres_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 0 2 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne; 3 1 Add_im Add_Component Add_Im\n$$;1;6;4;5;4;1;e 0 3 Add_component Pres_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 0 2 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne 3 1 Add_im Add_Component Add_Im\n$$;e 0 3 Add_component Pres_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 0 2 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne 3 1 Add_im Add_Component Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
16;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne; 1 0 Add_package Pres_Package Add_Package\n$$;1;4;4;3;4;1;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
17;e 0 6 Add_port Pres_Component Add_Port\ne 9 6 Add_t Add_Connector Add_Port\ne 9 8 Add_requ Add_Connector Add_Requ\ne 4 8 Add_requ Pres_Package Add_Requ\ne 4 5 Add_component Pres_Package Add_Component\ne 5 1 Add_requ Add_Component Add_Requ\ne 4 1 Add_requ Pres_Package Add_Requ\ne 4 9 Add_con Pres_Package Add_Connector\ne 9 2 Add_src Add_Connector Add_Port\ne 7 2 Add_port Pres_Component Add_Port\ne 4 3 Add_im Pres_Package Add_Im\ne 3 5 Add_component Add_Im Add_Component\ne; 5 3 Add_im Add_Component Add_Im\n$$;1;13;10;12;10;1;e 0 6 Add_port Pres_Component Add_Port\ne 9 6 Add_t Add_Connector Add_Port\ne 9 8 Add_requ Add_Connector Add_Requ\ne 4 8 Add_requ Pres_Package Add_Requ\ne 4 5 Add_component Pres_Package Add_Component\ne 5 1 Add_requ Add_Component Add_Requ\ne 4 1 Add_requ Pres_Package Add_Requ\ne 4 9 Add_con Pres_Package Add_Connector\ne 9 2 Add_src Add_Connector Add_Port\ne 7 2 Add_port Pres_Component Add_Port\ne 4 3 Add_im Pres_Package Add_Im\ne 3 5 Add_component Add_Im Add_Component\ne 5 3 Add_im Add_Component Add_Im\n$$;e 0 6 Add_port Pres_Component Add_Port\ne 9 6 Add_t Add_Connector Add_Port\ne 9 8 Add_requ Add_Connector Add_Requ\ne 4 8 Add_requ Pres_Package Add_Requ\ne 4 5 Add_component Pres_Package Add_Component\ne 5 1 Add_requ Add_Component Add_Requ\ne 4 1 Add_requ Pres_Package Add_Requ\ne 4 9 Add_con Pres_Package Add_Connector\ne 9 2 Add_src Add_Connector Add_Port\ne 7 2 Add_port Pres_Component Add_Port\ne 4 3 Add_im Pres_Package Add_Im\ne 3 5 Add_component Add_Im Add_Component\ne 5 3 Add_im Add_Component Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
18;e 0 3 Add_requ Add_Component Add_Requ\ne 9 3 Add_requ Pres_Package Add_Requ\ne 9 6 Add_package Pres_Package Add_Package\ne 6 0 Add_component Add_Package Add_Component\ne 9 1 Add_con Pres_Package Add_Connector\ne 1 8 Add_requ Add_Connector Add_Requ\ne; 9 8 Add_requ Pres_Package Add_Requ\ne 1 7 Add_src Add_Connector Add_Port\ne 2 7 Add_port Pres_Component Add_Port\ne 1 4 Add_t Add_Connector Add_Port\ne 5 4 Add_port Pres_Component Add_Port\n$$;5;11;10;6;6;10;e 0 3 Add_requ Add_Component Add_Requ\ne 9 3 Add_requ Pres_Package Add_Requ\ne 9 6 Add_package Pres_Package Add_Package\ne 6 0 Add_component Add_Package Add_Component\ne 9 1 Add_con Pres_Package Add_Connector\ne 1 8 Add_requ Add_Connector Add_Requ\ne 9 8 Add_requ Pres_Package Add_Requ\ne 9 5 Add_package Pres_Package Add_Package\ne 5 2 Add_component Add_Package Add_Component\ne 2 4 Add_requ Add_Component Add_Requ\ne 9 4 Add_requ Pres_Package Add_Requ\ne 9 7 Add_con Pres_Package Add_Connector\ne 7 10 Add_requ Add_Connector Add_Requ\ne 9 10 Add_requ Pres_Package Add_Requ\ne;e 0 3 Add_requ Add_Component Add_Requ\ne 9 3 Add_requ Pres_Package Add_Requ\ne 9 6 Add_package Pres_Package Add_Package\ne 6 0 Add_component Add_Package Add_Component\ne 9 1 Add_con Pres_Package Add_Connector\ne 1 8 Add_requ Add_Connector Add_Requ\ne 9 8 Add_requ Pres_Package Add_Requ\ne 1 5 Add_src Add_Connector Add_Port\ne 4 5 Add_port Pres_Component Add_Port\ne 1 2 Add_t Add_Connector Add_Port\ne 7 2 Add_port Pres_Component Add_Port\n$$;0;50001;0;5;5;0;8;0;INCORRECT;ISOMORPHIC;8;STOP_TOKEN;
19;e 0 3 Add_requ Add_Component Add_Requ\ne; 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$;3;4;4;1;2;3;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 1 Add_package Pres_Package Add_Package\ne 1 0 Add_component Add_Package Add_Component\n$$;49998;50001;1;3;2;0;0;0;TOO_SMALL;ISOMORPHIC;1;STOP_TOKEN;
20;e 0 5 Add_port Pres_Component Add_Port\ne 3 5 Add_t Add_Connector Add_Port\ne 3 1 Add_requ Add_Connector Add_Requ\ne 6 1 Add_requ Pres_Package Add_Requ\ne 6 3 Add_con Pres_Package Add_Connector\ne 3 4 Add_src Add_Connector Add_Port\ne; 2 4 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 0 5 Add_port Pres_Component Add_Port\ne 3 5 Add_t Add_Connector Add_Port\ne 3 1 Add_requ Add_Connector Add_Requ\ne 6 1 Add_requ Pres_Package Add_Requ\ne 6 3 Add_con Pres_Package Add_Connector\ne 3 4 Add_src Add_Connector Add_Port\ne 2 4 Add_port Pres_Component Add_Port\n$$;e 0 5 Add_port Pres_Component Add_Port\ne 3 5 Add_t Add_Connector Add_Port\ne 3 1 Add_requ Add_Connector Add_Requ\ne 6 1 Add_requ Pres_Package Add_Requ\ne 6 3 Add_con Pres_Package Add_Connector\ne 3 4 Add_src Add_Connector Add_Port\ne 2 4 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
21;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne; 3 2 Add_im Pres_Package Add_Im\n$$;1;6;4;5;4;1;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne 3 2 Add_im Pres_Package Add_Im\n$$;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne 3 2 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
22;e 1 0 Add_requ Pres_Package Add_Requ\ne; 1 2 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Add_Component Add_Requ\ne 2 3 Add_im Add_Component Add_Im\ne 3 2 Add_component Add_Im Add_Component\ne 1 3 Add_im Pres_Package Add_Im\n$$;5;6;4;1;2;3;e 1 0 Add_requ Pres_Package Add_Requ\ne 1 2 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Add_Component Add_Requ\ne;e 1 0 Add_requ Pres_Package Add_Requ\ne 1 2 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Add_Component Add_Requ\ne 2 3 Add_im Add_Component Add_Im\ne 3 2 Add_component Add_Im Add_Component\ne 1 3 Add_im Pres_Package Add_Im\n$$;49997;50001;2;5;3;0;0;0;TOO_SMALL;ISOMORPHIC;1;STOP_TOKEN;
