"X";"prompt_gt";"completion_gt";"missing_edges";"total_edges";"total_nodes";"prompt_edges";"prompt_nodes";"nb_completion_candidates";"completion_best_rank";"completion_best_eval";"completion_best_rank_score";"completion_best_eval_score";"completion_best_rank_correct_edges";"completion_best_eval_correct_edges";"completion_best_rank_lines_missing";"completion_best_eval_lines_missing";"completion_best_rank_additional_lines";"completion_best_eval_additional_lines";"completion_best_rank_result";"completion_best_eval_result";"best_rank"
"10";"e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne";" 3 1 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 3 1 Add_im Pres_Package Add_Im\n$$";"e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 3 1 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"11";"e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne";" 2 3 Add_package Pres_Package Add_Package\ne 3 0 Add_component Add_Package Add_Component\n$$";"2";"4";"4";"2";"3";"2";"e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$";"e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_package Pres_Package Add_Package\ne 3 0 Add_component Add_Package Add_Component\n$$";"0";"150000";"0";"2";"2";"0";"4";"0";"INCORRECT";"ISOMORPHIC";"100"
"12";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne";" 1 2 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne 1 2 Add_im Pres_Package Add_Im\n$$";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne 0 2 Add_im Add_Component Add_Im\ne 2 0 Add_component Add_Im Add_Component\ne 1 2 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"13";"e 0 1 Add_component Add_Im Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne";" 2 3 Add_requ Pres_Package Add_Requ\ne 2 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"4";"6";"4";"2";"3";"1";"e 0 1 Add_component Add_Im Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"e 0 1 Add_component Add_Im Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"4";"4";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"14";"e 3 0 Add_port Pres_Component Add_Port\ne 4 0 Add_t Add_Connector Add_Port\ne 4 2 Add_requ Add_Connector Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 4 Add_con Pres_Package Add_Connector\ne 4 6 Add_src Add_Connector Add_Port\ne";" 5 6 Add_port Pres_Component Add_Port\n$$";"1";"7";"7";"6";"6";"1";"e 3 0 Add_port Pres_Component Add_Port\ne 4 0 Add_t Add_Connector Add_Port\ne 4 2 Add_requ Add_Connector Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 4 Add_con Pres_Package Add_Connector\ne 4 6 Add_src Add_Connector Add_Port\ne 5 6 Add_port Pres_Component Add_Port\n$$";"e 3 0 Add_port Pres_Component Add_Port\ne 4 0 Add_t Add_Connector Add_Port\ne 4 2 Add_requ Add_Connector Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 4 Add_con Pres_Package Add_Connector\ne 4 6 Add_src Add_Connector Add_Port\ne 5 6 Add_port Pres_Component Add_Port\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"15";"e 0 2 Add_component Pres_Package Add_Component\ne";" 2 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 2 1 Add_im Add_Component Add_Im\n$$";"5";"6";"4";"1";"2";"1";"e 0 2 Add_component Pres_Package Add_Component\ne 2 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 2 1 Add_im Add_Component Add_Im\n$$";"e 0 2 Add_component Pres_Package Add_Component\ne 2 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 1 Add_im Pres_Package Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 2 1 Add_im Add_Component Add_Im\n$$";"150000";"150000";"5";"5";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"16";"e 1 0 Add_requ Add_Component Add_Requ\ne";" 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\n$$";"5";"6";"4";"1";"2";"3";"e 1 0 Add_requ Add_Component Add_Requ\ne 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\n$$";"e 1 0 Add_requ Add_Component Add_Requ\ne 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"5";"5";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"17";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 3 Add_package Pres_Package Add_Package\ne";" 3 0 Add_component Add_Package Add_Component\n$$";"1";"4";"4";"3";"4";"1";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 3 Add_package Pres_Package Add_Package\ne 3 0 Add_component Add_Package Add_Component\n$$";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 3 Add_package Pres_Package Add_Package\ne 3 0 Add_component Add_Package Add_Component\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"18";"e 1 0 Add_requ Add_Component Add_Requ\ne 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne";" 2 3 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 1 0 Add_requ Add_Component Add_Requ\ne 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\n$$";"e 1 0 Add_requ Add_Component Add_Requ\ne 1 3 Add_im Add_Component Add_Im\ne 3 1 Add_component Add_Im Add_Component\ne 2 1 Add_component Pres_Package Add_Component\ne 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"19";"e 3 0 Add_t Add_Connector Add_Port\ne";" 3 1 Add_requ Add_Connector Add_Requ\ne 4 1 Add_requ Pres_Package Add_Requ\ne 4 3 Add_con Pres_Package Add_Connector\ne 3 5 Add_src Add_Connector Add_Port\ne 2 5 Add_port Pres_Component Add_Port\ne 6 0 Add_port Pres_Component Add_Port\n$$";"6";"7";"7";"1";"2";"2";"e 3 0 Add_t Add_Connector Add_Port\ne 3 5 Add_requ Add_Connector Add_Requ\ne 2 5 Add_requ Pres_Package Add_Requ\ne 2 3 Add_con Pres_Package Add_Connector\ne";"e 3 0 Add_t Add_Connector Add_Port\ne 3 5 Add_requ Add_Connector Add_Requ\ne 2 5 Add_requ Pres_Package Add_Requ\ne 2 3 Add_con Pres_Package Add_Connector\ne 3 6 Add_src Add_Connector Add_Port\ne 1 6 Add_port Pres_Component Add_Port\ne 4 0 Add_port Pres_Component Add_Port\n$$";"49997";"150000";"3";"6";"3";"0";"0";"0";"TOO_SMALL";"ISOMORPHIC";"100"
"20";"e 2 0 Add_requ Add_Component Add_Requ\ne 1 2 Add_component Add_Package Add_Component\ne";" 3 1 Add_package Pres_Package Add_Package\ne 3 0 Add_requ Pres_Package Add_Requ\n$$";"2";"4";"4";"2";"3";"1";"e 2 0 Add_requ Add_Component Add_Requ\ne 1 2 Add_component Add_Package Add_Component\ne 3 1 Add_package Pres_Package Add_Package\ne 3 0 Add_requ Pres_Package Add_Requ\n$$";"e 2 0 Add_requ Add_Component Add_Requ\ne 1 2 Add_component Add_Package Add_Component\ne 3 1 Add_package Pres_Package Add_Package\ne 3 0 Add_requ Pres_Package Add_Requ\n$$";"150000";"150000";"2";"2";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"21";"e 0 1 Add_component Add_Im Add_Component\ne 1 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne";" 3 0 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 0 1 Add_component Add_Im Add_Component\ne 1 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne 3 0 Add_im Pres_Package Add_Im\n$$";"e 0 1 Add_component Add_Im Add_Component\ne 1 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_component Pres_Package Add_Component\ne 1 0 Add_im Add_Component Add_Im\ne 3 0 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"22";"e 0 6 Add_port Pres_Component Add_Port\ne 4 6 Add_t Add_Connector Add_Port\ne";" 4 1 Add_requ Add_Connector Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 4 Add_con Pres_Package Add_Connector\ne 4 3 Add_src Add_Connector Add_Port\ne 5 3 Add_port Pres_Component Add_Port\n$$";"5";"7";"7";"2";"3";"2";"e 0 6 Add_port Pres_Component Add_Port\ne 4 6 Add_t Add_Connector Add_Port\ne 4 2 Add_requ Add_Connector Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 4 Add_con Pres_Package Add_Connector\ne";"e 0 6 Add_port Pres_Component Add_Port\ne 4 6 Add_t Add_Connector Add_Port\ne 4 2 Add_requ Add_Connector Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 4 Add_con Pres_Package Add_Connector\ne 4 3 Add_src Add_Connector Add_Port\ne 5 3 Add_port Pres_Component Add_Port\n$$";"49998";"150000";"3";"5";"2";"0";"0";"0";"TOO_SMALL";"ISOMORPHIC";"100"
"23";"e 2 0 Add_requ Add_Component Add_Requ\ne";" 1 2 Add_component Add_Package Add_Component\ne 3 1 Add_package Pres_Package Add_Package\ne 3 0 Add_requ Pres_Package Add_Requ\n$$";"3";"4";"4";"1";"2";"3";"e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne";"e 2 0 Add_requ Add_Component Add_Requ\ne 1 2 Add_component Add_Package Add_Component\ne 3 1 Add_package Pres_Package Add_Package\ne 3 0 Add_requ Pres_Package Add_Requ\n$$";"0";"150000";"0";"3";"3";"0";"2";"0";"INCORRECT";"ISOMORPHIC";"100"
"24";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne";" 2 0 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"25";"e 0 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne";" 2 0 Add_package Pres_Package Add_Package\n$$";"1";"4";"4";"3";"4";"1";"e 0 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_package Pres_Package Add_Package\n$$";"e 0 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_package Pres_Package Add_Package\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"26";"e 0 2 Add_port Pres_Component Add_Port\ne 14 2 Add_t Add_Connector Add_Port\ne";" 14 12 Add_requ Add_Connector Add_Requ\ne 7 12 Add_requ Pres_Package Add_Requ\ne 7 15 Add_con Pres_Package Add_Connector\ne 15 1 Add_requ Add_Connector Add_Requ\ne 7 1 Add_requ Pres_Package Add_Requ\ne 7 14 Add_con Pres_Package Add_Connector\ne 14 11 Add_src Add_Connector Add_Port\ne 16 11 Add_port Pres_Component Add_Port\ne 15 3 Add_src Add_Connector Add_Port\ne 9 3 Add_port Pres_Component Add_Port\ne 15 5 Add_t Add_Connector Add_Port\ne 13 5 Add_port Pres_Component Add_Port\ne 0 10 Add_port Pres_Component Add_Port\ne 8 10 Add_t Add_Connector Add_Port\ne 8 6 Add_requ Add_Connector Add_Requ\ne 18 6 Add_requ Pres_Package Add_Requ\ne 18 8 Add_con Pres_Package Add_Connector\ne 8 17 Add_src Add_Connector Add_Port\ne 4 17 Add_port Pres_Component Add_Port\n$$";"19";"21";"19";"2";"3";"2";"e 0 2 Add_port Pres_Component Add_Port\ne 14 2 Add_t Add_Connector Add_Port\ne 14 3 Add_requ Add_Connector Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 14 Add_con Pres_Package Add_Connector\ne";"e 0 2 Add_port Pres_Component Add_Port\ne 14 2 Add_t Add_Connector Add_Port\ne 14 3 Add_requ Add_Connector Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 14 Add_con Pres_Package Add_Connector\ne 14 6 Add_src Add_Connector Add_Port\ne 4 6 Add_port Pres_Component Add_Port\n$$";"49984";"49986";"3";"5";"16";"14";"0";"0";"TOO_SMALL";"TOO_SMALL";"0"
